Angelica,Blues Traveler,3.5
Angelica,Broken Bells,2.0
Angelica,Norah Jones,4.5
Angelica,Phoenix,5
Angelica,Slightly Stoopid,1.5
Angelica,The Storkes,2.5
Angelica,Vampiire Weekend,2
Bill,Blues Traveler, 2.0
Bill,Broken Bells,3.5
Bill,Deadmau5,4.0
Bill,Phoenix,2.0
Bill,Slightly Stoopid, 3.5
Bill,Vampire Weekend, 3.0
Chan,Blues Traveler, 5.0
Chan,Broken Bells, 1.0
Chan,Deadmau5, 1.0
Chan,Norah Jones, 3.0
Chan,Phoenix, 5
Chan,Slightly Stoopid, 1.0
Dan,Blues Traveler, 3.0
Dan,Broken Bells, 4.0
Dan,Deadmau5, 4.5
Dan,Phoenix, 3.0
Dan,Slightly Stoopid, 4.5
Dan,The Strokes, 4.0
Dan,Vampire Weekend, 2.0
Hailey, Broken Bells, 4.0
Hailey,Deadmau5, 1.0,
Hailey,Norah Jones, 4.0
Hailey,The Strokes, 4.0
Hailey,Vampire Weekend, 1.0
Jordyn,Broken Bells, 4.5
Jordyn,Deadmau5, 4.0
Jordyn,Norah Jones, 5.0
Jordyn,Phoenix, 5.0
Jordyn,Slightly Stoopid, 4.5
Jordyn,The Strokes, 4.0
Jordyn,Vampire Weekend, 4.0
Sam,Blues Traveler, 5.0
Sam,Broken Bells, 2.0
Sam,Norah Jones, 3.0
Sam,Phoenix, 5.0
Sam,Slightly Stoopid, 4.0
Sam,The Strokes, 5.0
Veronica,Blues Traveler, 3.0
Veronica,Norah Jones, 5.0
Veronica,Phoenix, 4.0
Veronica,Slightly Stoopid, 2.5
Veronica,The Strokes, 3.0
